@relation 'resume_p2final-weka.filters.unsupervised.attribute.NumericToNominal-R1,3,5,6,7,9,10-weka.filters.unsupervised.attribute.Remove-R1,3,5,6,7,9,10-weka.filters.unsupervised.attribute.NumericToNominal-R4-weka.filters.unsupervised.attribute.Remove-R4'

@attribute salary_last numeric
@attribute workmonth numeric
@attribute salary_exp numeric

@data
6001,26,8001
6001,24,8001
4001,9,6001
4001,14,6001
4001,26,6001
4001,15,6001
8001,26,10001
10001,10,15000
6001,21,8001
2001,78,4001
4001,30,6001
4001,133,6001
4001,36,6001
4001,20,6001
4001,41,8001
4001,100,6001
2001,46,4001
2001,38,4001
2001,119,4001
2001,46,4001
4001,23,6001
4001,23,6001
4001,17,6001
8001,332,10001
6001,70,8001
2001,8,6001
4001,12,6001
6001,25,8001
2001,25,8001
4001,15,6001
6001,18,8001
2001,38,4001
4001,154,6001
2001,64,4001
2001,71,4001
4001,11,8000
10001,143,15000
4001,39,8001
4001,11,6001
2001,6,6001
2001,14,4001
10001,85,15000
2001,6,8001
2001,7,4001
2001,4,8001
10001,89,15000
4001,31,8001
2001,17,4001
4001,23,6001
2001,88,4001
6001,112,8001
2001,15,4001
8001,37,10001
10001,68,15000
2001,11,3000
10001,98,15000
8001,31,10001
2001,52,4001
6001,33,8001
6001,78,8001
10001,168,15000
10001,111,15000
6001,26,10000
6001,48,10001
6001,7,8000
4001,31,10001
2001,6,3000
6001,29,8001
4001,14,6001
8001,46,10001
4001,12,8000
10001,84,15000
6001,15,8000
4001,14,6001
2001,13,8000
2001,10,3000
2001,4,3000
2001,10,3000
2001,7,3000
2001,14,3000
2001,12,3000
2001,13,3000
6001,17,10001
2001,6,3000
2001,14,3000
6001,39,8001
4001,28,8000
4001,7,8000
2001,23,4001
4001,11,6001
2001,19,8001
8001,16,10000
2001,7,4500
4001,15,6000
7000,36,8000
10001,88,15000
4001,26,6000
4001,14,6001
6001,26,10000
4001,15,6000
4001,8,6000
10001,118,15000
8001,13,10000
6001,20,8000
2001,2,6000
6001,28,8001
8001,28,10000
6001,12,8001
8001,149,15000
2001,6,3000
4001,9,6000
4001,7,6001
2001,41,4001
10001,164,15000
6001,107,8000
4001,15,7500
8001,17,10001
4001,10,4500
2001,10,3000
4001,8,6000
8001,17,15000
2001,10,4000
2001,71,4001
8001,12,10000
10001,74,15000
2001,10,4001
2001,37,4001
6001,154,8001
2001,47,4001
6001,21,8001
4001,14,6001
4001,102,6001
10001,170,15000
6001,15,8001
6001,68,8001
6001,49,8001
8001,38,10001
2001,31,4001
10001,50,15000
8001,61,10001
10001,125,15000
4001,16,6001
8001,52,10001
4001,14,8001
4001,18,6001
6001,24,8001
6001,27,8001
6001,22,10001
2001,14,4001
4001,75,6001
4001,33,6001
2001,77,4001
6001,25,8000
2001,81,6001
4001,26,8001
6001,21,8001
4001,13,6001
2001,13,4001
6001,12,8001
4001,13,6001
6001,28,10000
4001,6,6001
4001,17,6001
6001,16,8001
4001,35,6000
4001,11,6001
6001,26,10001
4001,64,6001
2001,57,4001
6001,14,6500
6001,90,8001
8001,30,10001
4001,28,6001
4001,25,6001
6001,120,8001
8001,29,10001
6001,26,10001
8001,24,10001
8001,16,10001
10001,26,15000
8001,25,10001
6001,26,8001
4001,37,8001
6001,35,8001
8001,41,9000
10001,56,15000
8001,27,10001
4001,17,6001
10001,145,15000
2001,16,6000
4001,19,4500
6001,16,10000
8001,15,10001
8001,29,10001
4001,14,6001
6001,38,9000
4001,39,6001
8001,39,10001
4001,38,6000
8001,53,15000
2001,6,4001
4001,12,6001
4001,51,6001
6001,27,10000
2001,12,6001
8001,45,10001
8001,17,10001
2001,27,4001
2001,12,5000
4001,14,6001
4001,17,6001
6001,12,10001
4001,20,8001
6001,11,8001
4001,5,6000
4001,13,4500
4001,26,6001
8001,28,10000
4001,57,8001
6001,88,8001
2001,8,6001
2001,13,4001
6001,23,8000
6001,20,8001
8001,24,10000
6001,23,8001
6001,15,8001
4001,37,6001
10001,48,15000
4001,6,6001
4001,6,4500
2001,2,4001
2001,22,4001
4001,9,6000
2001,125,4001
4001,15,8001
8001,23,10000
4001,39,6001
4001,12,6001
2001,36,4001
6001,67,8001
8001,46,10001
8001,109,10001
4001,7,6001
4001,7,4500
10001,123,15000
10001,25,15000
6001,84,8001
10001,20,15000
4001,37,6001
6001,113,10001
4001,28,6001
8001,113,10001
2001,7,4500
2001,24,4001
10001,40,15000
10001,167,15000
10001,56,15000
2001,11,4001
8001,151,10001
6001,147,8001
4001,39,6001
2001,18,4001
4001,20,6001
6001,38,10001
8001,30,10001
4001,25,8001
10001,88,15000
6001,32,8001
8001,64,15000
4001,37,6001
6001,15,10001
10001,68,15000
10001,42,15000
4001,47,6001
2001,41,4001
8001,23,10000
4001,15,6001
6001,71,8001
2001,6,3000
2001,16,4001
2001,20,8000
4001,9,6000
4001,23,6001
2001,12,4001
8001,29,10001
2001,4,4001
4001,19,8001
4001,26,10001
2001,6,6001
6001,27,8001
8001,25,10001
8001,26,10001
6001,16,10001
6001,24,10001
4001,21,6001
4001,25,10001
8001,25,10001
4001,13,6001
6001,15,8001
6001,16,10001
6001,13,10001
8001,26,10000
8001,30,10001
2001,30,6001
4001,27,6001
4001,102,6001
6001,158,8001
6001,63,8001
8001,23,10001
4001,17,6001
8001,16,10001
2001,51,6001
4001,17,6001
10001,30,15000
4001,8,8001
4001,12,6001
4001,26,10001
4001,15,6500
10001,133,15000
6001,61,10001
8001,23,10001
10001,88,15000
6001,13,8000
2001,27,4001
2001,31,4001
2001,287,6001
2001,190,4001
8001,192,10001
2001,10,3000
2001,72,4001
4001,52,6001
2001,55,4001
2001,33,4001
6001,9,8000
2001,43,4001
6001,28,10001
10001,182,15000
2001,6,4001
4001,19,6001
2001,8,5000
4001,16,8000
4001,16,6001
4001,63,8001
4001,17,6001
10001,125,15000
6001,7,8000
6001,26,8000
4001,17,6001
4001,17,6001
4001,16,6001
4001,17,6001
4001,17,6001
4001,17,6001
4001,20,6001
4001,17,6001
4001,17,6001
4001,17,6001
4001,16,6001
6001,16,8001
4001,17,6001
2001,72,4001
2001,10,4500
8001,93,10001
4001,12,6001
4001,11,8001
4001,16,10001
8001,20,10001
4001,17,6001
6001,25,8000
6001,22,10001
6001,21,10001
6001,21,8001
8001,18,10001
4001,51,6001
2001,102,8001
4001,27,6001
4001,36,6001
4001,55,6001
4001,23,6001
4001,50,6001
2001,10,4001
5800,134,6000
4001,144,6001
6001,12,8001
6001,15,8000
8001,22,10000
8001,4,10000
4001,69,6001
4001,48,4500
4001,19,6001
2001,28,4001
6001,80,10001
4001,12,4500
4001,265,6001
4001,73,6001
4001,50,6001
4001,14,6001
4001,28,8001
2001,21,4001
6001,142,8001
4001,36,6001
10001,21,13500
2001,7,4500
2001,45,6001
4001,38,6001
4001,18,6001
6001,35,8001
2001,28,6001
6001,14,8001
10001,84,15000
4001,10,8001
6001,33,10001
4001,24,6001
4001,27,6001
10001,193,15000
4001,70,6001
2001,20,4001
4001,61,6001
2001,17,4001
4001,21,6001
4001,52,6001
2001,31,6001
2001,6,6001
4001,24,6001
6001,22,15000
6001,29,8001
4001,43,6001
4001,62,6001
2001,14,4001
8001,24,10000
6001,105,10001
6001,17,8000
4001,24,4500
6001,14,8001
10001,59,15000
6001,17,8000
8001,24,10000
6001,47,8001
6001,74,8001
8001,8,10000
2001,16,4001
2001,4,4001
8001,15,10000
2001,23,4001
4001,53,6001
6001,10,8000
4001,58,4500
10001,20,15000
4001,24,6001
2001,5,4001
6001,17,8000
2001,10,6000
4001,20,7000
2001,58,3000
2001,24,5000
2001,6,4001
2001,6,4500
2001,39,4001
6001,101,8001
2001,2,4001
4001,52,6001
8001,110,10001
2001,5,8001
2001,35,4001
2001,37,4001
2001,2,4001
4001,35,6001
4001,34,8001
2001,24,4001
2001,28,6001
2001,13,4001
4001,20,6001
2001,12,6001
4001,19,6001
2001,15,4001
4001,30,8001
2001,9,6001
2001,15,4001
4001,68,10001
4001,5,6000
2001,5,4001
2001,23,4001
2001,36,4001
6001,10,8001
2001,37,4001
4001,8,7000
2001,2,4001
4001,36,6001
6001,19,10001
6001,58,8001
4001,35,6001
4001,4,4500
6001,63,8001
2001,6,4001
8001,24,10000
2001,8,4001
4001,5,8001
6001,16,10001
4001,39,4500
4001,50,8001
2001,15,6001
4001,11,6001
2001,6,4001
6001,363,8000
2001,22,4001
6001,22,10001
2001,24,4001
2001,9,4001
2001,23,6001
2001,9,6000
4001,8,6500
4001,52,8001
8001,27,10000
6001,13,8000
2001,16,4001
4001,5,10001
8001,100,10001
8001,90,15000
8001,12,10000
8001,28,10001
8001,90,10001
4001,50,6001
4001,109,6001
4001,51,6001
4001,51,6001
4001,26,8000
4001,40,8001
6000,30,6001
4001,8,4500
4001,12,4500
8001,13,10000
2001,11,8000
8001,147,10001
2001,8,4001
4001,12,4500
4001,11,7000
4001,17,6001
4001,18,6001
4001,3,4500
8001,97,10001
10001,55,15000
4001,22,6001
4001,13,8001
8001,164,10001
4001,51,6001
10001,41,15000
10001,64,15000
4000,358,10000
4001,13,4500
8001,28,10000
6001,20,8001
2001,8,4001
4001,5,6001
4001,47,6001
4001,86,8000
4001,77,4500
2001,9,4001
10001,69,15000
4001,16,6001
6001,104,8001
4001,18,6001
2001,2,3000
4001,71,6001
6001,43,8001
6001,13,8001
2001,131,4001
6001,50,8001
2001,3,4001
2001,10,4001
4001,28,6001
2001,11,6001
2001,30,4500
6001,13,8001
6001,26,10001
8001,172,10001
6001,20,8000
4001,7,7000
4001,90,6001
2001,129,4001
8001,38,10001
4001,24,8000
10001,148,15000
6001,65,10001
2001,8,4001
2001,13,4001
2001,13,4001
2001,39,4001
2001,17,4001
6001,64,8001
8001,28,10001
6001,38,8000
4001,47,6001
2001,14,4001
8001,27,10001
2001,18,4001
4001,12,6001
10001,265,15000
4001,146,4500
2001,32,4001
2001,10,4001
4001,42,6001
4001,21,6001
2001,33,4001
2001,62,4001
2001,131,3500
4001,13,6001
6001,9,8001
6001,4,8001
2001,5,4500
2001,98,4001
2001,5,4001
2001,7,4001
2001,25,4001
6001,80,8001
4001,11,6000
4001,5,6001
2001,36,4001
4001,106,6001
2001,17,6000
2001,8,4001
2001,26,4001
2001,53,6001
4001,15,6001
6001,14,10001
8001,63,10001
2001,6,4001
2001,11,4001
4001,52,6001
4001,39,6001
2001,12,8000
4001,41,6001
8001,28,10001
4001,14,8000
2001,14,4001
4001,108,4500
4001,12,6001
6001,41,8001
2001,0,4500
6001,81,10001
10001,138,15000
4001,12,8000
2001,11,4500
2001,41,10001
2001,9,4001
4001,107,6001
4001,14,6001
4001,7,6000
4001,12,6000
2001,45,4001
2001,2,4001
2001,38,4001
4001,18,6001
2001,197,4001
4001,19,6001
4001,11,6001
6001,27,8001
2001,25,4001
4001,9,4500
6001,64,8001
2001,6,4001
4001,44,6001
6001,31,8001
6001,142,8001
2001,17,4001
2001,6,4500
6001,16,8001
4001,24,8001
2001,13,6001
2001,16,4001
6001,25,8001
4001,32,6001
8001,27,10001
4001,23,6001
2001,90,4001
10001,177,15000
4001,79,6000
4001,16,6000
2001,2,6001
2001,13,8000
2001,11,4001
6001,59,8001
6001,28,8001
6001,23,8001
6001,25,10000
6001,15,10001
2001,3,6001
2001,6,6001
4001,15,4500
10001,38,15000
10001,108,15000
2001,6,3000
2001,8,4001
2001,9,6001
6001,85,10001
4000,144,12000
4001,23,8001
4001,16,6000
2001,8,4500
6001,24,8001
8001,43,10001
8001,15,10001
8001,58,10001
10001,54,15000
8001,49,10001
4001,14,6001
4001,15,6001
8001,28,10001
6001,44,10001
8001,44,10001
8001,20,10001
4001,28,8001
6001,48,8001
4001,26,6001
2001,17,4001
2001,12,4001
8001,30,10001
6001,31,8001
8001,37,10001
2001,5,4001
2001,4,4001
6001,31,8001
10001,58,15000
4001,68,6000
4001,182,6000
4001,248,6001
4001,79,6000
4001,13,8001
4001,150,4500
2001,2,6001
2001,25,4001
4001,15,4500
6001,120,10001
4001,26,8001
2001,7,4001
2001,10,6000
6001,17,8001
4001,59,4500
2001,95,4001
4001,22,8001
2001,6,4001
4001,115,6001
2001,12,4001
2001,10,4001
2001,3,4001
4001,12,6001
4001,13,6001
2001,13,4001
2001,60,4001
2001,4,4001
2001,5,6001
2001,54,4001
2001,29,4001
2001,11,4001
2001,22,4001
4001,24,6001
4001,32,6001
2001,8,4001
4001,12,8001
2001,7,4001
6001,6,8001
6001,51,15000
6001,60,8001
2001,18,4001
2001,31,4001
4001,8,6001
4001,11,6000
2001,2,4001
4001,9,6001
2001,7,4001
2001,5,8001
4001,18,6001
6001,3,8001
2001,4,4001
2001,24,4001
2001,0,4001
6001,25,8001
8001,15,10001
8001,29,10001
4001,13,6001
4001,307,6001
8001,12,10001
8001,13,10000
4001,11,6001
6001,10,8001
8001,38,10001
2001,9,4001
6001,26,8001
10001,35,15000
8001,33,10001
10001,27,15000
4001,2,6001
10001,15,15000
4001,45,6001
6001,134,10001
10001,141,15000
4001,12,8001
4001,11,6001
4001,11,4500
2001,26,4001
2001,134,6001
4001,18,6001
6001,11,10001
8001,25,10001
6001,19,10001
8001,24,10001
6001,161,8001
10001,27,15000
6001,12,8001
6001,11,8001
6001,25,8000
8001,15,10001
6001,31,8001
8001,14,10001
4001,26,6001
4001,9,4500
6001,25,10001
2001,51,4001
2001,67,4001
6001,120,10001
4001,12,6000
4001,41,6001
4001,5,6001
4001,11,8001
4001,39,4500
4001,228,8001
2001,10,4001
2001,20,4001
2001,74,4001
8001,59,10001
10001,71,15000
10001,57,15000
2001,46,4001
2001,3,6001
6001,26,8001
2001,8,6001
6001,52,8001
8001,19,10001
10001,38,15000
4001,84,6001
4001,9,6001
2001,40,4001
4001,28,8001
2001,31,4001
2001,11,6001
4001,25,8001
2001,18,4001
2001,8,4001
2001,5,4001
8001,21,15000
2001,13,4001
4001,107,6000
4001,21,4500
2001,2,3000
2001,16,5000
4001,53,6001
2001,17,4001
2001,8,6001
2001,5,3000
4001,12,6001
4001,4,10001
2001,4,4001
2001,27,4001
4001,40,6000
4001,127,6001
2001,4,6001
4001,36,6001
4001,39,6001
4001,13,8001
4001,27,6001
2001,37,6001
2001,5,3000
8001,37,10001
8001,5,10001
4001,38,6001
6001,4,8001
6001,88,15000
2001,2,4001
4001,29,6001
4001,15,4500
2001,1,4001
2001,2,4001
2001,10,6001
4001,85,6001
4001,16,6001
2001,156,4001
10001,122,15000
6001,45,8001
2001,11,4001
8001,20,10001
6001,27,10001
6001,21,10001
4001,53,6001
2001,4,4001
6001,93,8001
2001,28,10001
2001,6,4001
2001,9,4001
4001,6,6001
2001,13,4001
6001,18,10001
2001,54,6001
8001,48,10001
2001,9,6001
2001,4,4001
2001,9,8001
10001,63,15000
2001,33,4001
2001,15,4001
2001,4,4001
2001,14,4001
2001,7,4001
4001,67,6001
2001,218,4001
2001,24,4001
2001,13,4001
2001,11,4001
6001,2,8001
2001,48,4001
4001,48,4500
4001,12,6001
2001,9,4001
6001,41,8001
2001,75,4001
6001,81,8001
6001,64,8001
2001,18,8001
4001,23,8001
2001,27,6001
4001,10,6001
4001,7,6001
4001,12,6001
2001,27,4001
6001,13,8001
4001,8,4500
2001,10,4001
8001,4,10001
2001,18,4001
2001,10,4001
8001,42,10001
4001,50,8001
4001,41,6001
2001,2,4001
2001,130,8001
4001,12,6001
4001,49,8001
2001,3,4001
6001,65,8001
4001,34,6001
4001,19,6001
2001,8,4001
6001,34,8001
4001,13,10000
6001,16,8001
6001,16,8001
6001,171,8001
4001,5,6001
4001,21,6001
4001,102,6001
6001,67,8001
2001,13,6001
2001,91,4001
2001,2,4001
6001,86,8001
2001,26,4001
2001,35,4001
4001,51,6001
2001,4,4001
10001,65,15000
2001,35,4001
4001,11,8001
6001,14,8001
10001,60,15000
4001,139,8001
8001,97,10001
2001,93,4001
8001,111,10001
6001,38,8001
6001,27,8001
6001,133,8001
6001,118,8001
2001,34,4001
4001,96,6001
2001,20,4001
4001,118,15000
6001,54,8001
4001,21,4500
8001,99,15000
4001,25,15000
2001,10,6001
2001,37,4001
10001,99,15000
8001,69,10001
6001,68,8001
8001,100,10001
10001,93,15000
2001,86,4001
8001,83,10001
8001,49,10001
2001,104,4001
2001,74,4001
6001,87,8001
8001,99,10001
2001,12,6001
8001,62,10001
10001,2,15000
4001,89,6001
8001,243,15000
8001,94,10001
4001,98,8001
2001,4,6001
6001,50,8001
6001,37,8001
8001,100,10001
6001,28,8001
4001,38,6001
6001,35,10001
4001,34,6001
4001,73,10001
4001,10,6001
2001,8,4001
10001,69,15000
6001,30,8001
2001,19,4001
6001,107,8001
2001,11,4001
8001,87,10001
4001,51,8001
4001,112,6001
4001,47,6001
4001,99,8001
4001,66,6001
2001,53,4001
2001,28,4001
2001,12,4001
6001,73,8001
10001,55,15000
8001,41,10001
6001,19,8001
10001,87,15000
6001,33,8001
10001,89,15000
2001,10,4001
8001,135,10001
4001,90,6001
10001,53,15000
6001,56,8001
4001,30,6001
8001,65,10001
2001,23,4001
8001,48,10001
8001,41,10001
10001,63,15000
4001,23,10001
8001,63,10001
8001,127,15000
2001,104,4001
10001,110,15000
10001,39,15000
10001,59,15000
10001,67,15000
2001,63,4001
4001,24,6001
2001,32,4001
8001,48,10001
10001,33,15000
2001,42,4001
4001,37,8001
6001,21,8001
10001,115,15000
10001,67,15000
4001,23,6001
10001,110,15000
6001,87,8001
6001,37,8001
4001,16,6001
8001,24,10001
6001,29,10001
2001,10,4001
2001,19,4001
2001,11,6001
6001,78,8001
6001,41,8001
4001,42,8001
10001,65,15000
10001,71,15000
4001,24,6001
2001,8,4001
4001,33,6001
4001,65,8001
2001,11,4001
4001,15,6001
6001,137,8001
2001,9,6001
8001,31,15000
8001,90,10001
2001,2,4001
2001,52,4001
4001,19,6001
4001,26,8001
8001,24,10001
2001,14,4001
4001,11,10001
10001,27,15000
6001,13,8001
6001,11,10001
2001,6,4001
2001,15,4001
4001,2,6001
8001,22,10001
6001,29,10001
8001,15,10001
6001,21,10001
6001,12,8001
6001,14,8001
6001,72,10001
4001,48,6001
6001,32,8001
2001,3,4001
6001,32,8001
2001,11,4001
2001,23,4001
4001,55,6001
6001,25,8001
4001,9,8001
4001,16,8001
2001,6,4001
8001,43,10001
4001,10,6000
4001,173,6001
2001,20,4500
4001,24,8001
6001,8,10001
6001,39,10000
2001,53,4001
4001,74,8001
4001,43,8001
4001,2,6001
6001,13,8001
2001,14,4001
4001,77,6001
8001,15,10001
2001,3,4001
4001,15,6001
10001,19,15000
2001,6,4001
4001,51,6001
4001,12,6001
6001,16,10001
4001,14,8001
4001,6,8001
8001,17,10001
4001,19,4500
8001,9,10001
4001,12,6001
4001,18,6001
2001,3,4001
4001,9,8001
2001,13,4001
4001,118,6001
2700,4,3500
4001,65,6001
10001,66,15000
4001,12,6001
2001,7,4001
6001,8,8001
4001,5,6001
2001,11,8000
6001,11,8001
2001,5,4001
6001,55,10001
2001,8,4001
4001,30,6001
8001,25,10001
4001,34,10001
4001,4,6001
2001,62,4001
4001,35,10001
4001,35,8001
2001,22,4001
2001,133,4001
2001,152,4001
4001,43,8001
2001,19,4001
8001,28,10000
8001,93,10001
2001,29,4001
8001,3,10000
2001,15,4001
6001,28,10001
6001,41,8001
10001,71,15000
4001,97,10001
10001,79,15000
2001,40,4001
4001,114,10001
2001,23,4001
6001,117,8001
4001,65,6001
2001,63,6001
4001,72,6001
4001,20,8001
10001,75,15000
10001,80,15000
6001,27,10001
2001,9,4001
6001,74,10001
4001,34,6001
4001,44,6001
4001,17,5000
4001,13,8000
2001,3,4001
4001,68,6001
4001,6,6001
2001,57,4001
6001,17,10001
6001,13,8001
2001,23,4001
2001,2,4001
2001,130,4001
6001,26,10001
6001,16,8001
8001,24,10001
8001,46,10001
6001,16,8001
4001,7,6001
4001,13,8001
4001,10,6001
6001,12,8000
10001,218,15000
2001,64,4001
2001,4,6001
6001,30,8001
2001,40,4001
6001,9,8001
6001,67,8001
2001,18,6001
6001,86,8001
4001,16,6001
2001,16,4001
4001,63,8000
4001,184,5000
2001,18,4001
2001,6,6001
4001,14,8001
2001,6,4001
6001,27,10000
2001,8,4001
2001,36,4001
4001,14,6000
6001,18,10000
8001,176,10001
6001,30,8001
6001,12,8001
4001,12,4500
2001,6,6000
7000,50,8000
6001,64,8001
4001,30,6001
2001,6,4001
2001,2,3000
2001,174,4001
13000,24,15000
2001,23,6001
2001,5,4001
6001,59,10001
4001,31,6001
2001,10,8000
4001,7,6001
8001,108,10001
2001,12,4001
2001,6,4001
2001,11,4001
10001,67,15000
4001,41,6001
6001,11,8001
2001,6,4001
2001,12,4001
3000,35,3500
3500,17,6000
4000,13,5000
5000,48,6500
4000,13,8000
7000,45,8000
5000,34,6000
2001,4,3000
2001,12,4001
9000,15,12000
2001,2,3000
2001,36,4001
8001,12,10001
2001,5,4001
2001,5,4001
2001,42,4001
8001,14,10001
4001,48,6001
6001,122,10001
2001,15,4001
4001,3,6001
2001,82,4001
4001,345,10001
2001,13,6000
10001,104,15000
6001,28,10001
2001,28,4001
2001,18,4001
2001,22,4001
2001,27,6001
4001,111,6001
4001,23,6001
4001,17,6001
4001,4,6001
6001,64,8001
4001,97,8001
4001,44,6001
6001,78,8001
4001,66,8001
8001,118,10001
6001,53,10001
4001,21,6001
2001,52,4001
2001,21,4001
4001,34,6001
2001,19,4001
6001,35,8001
6001,12,8001
10001,93,15000
6001,47,8001
4001,24,6001
2001,41,4001
2001,50,4001
4001,72,6001
8001,102,10001
6001,27,8001
4001,31,6001
6500,54,13000
4000,24,5000
2001,18,4001
2001,14,4001
2001,27,4001
2001,17,4001
6001,22,10001
2001,271,8001
2001,9,4001
4001,36,6001
4001,11,6001
10001,29,15000
10001,117,15000
4001,81,6001
4001,19,6001
8001,126,10001
8001,62,10001
8001,20,10001
8001,77,10001
6001,42,8001
6001,46,8001
6000,40,7000
2001,31,4001
6001,71,10001
6001,39,8001
4001,92,6001
8001,128,10001
10001,76,15000
6001,48,10001
6001,71,10001
6001,15,8001
2001,10,4001
2001,15,4001
6001,53,10001
4001,33,10001
6001,83,10001
4001,12,6001
4001,15,6001
2001,2,4001
4001,13,4500
4001,131,8001
4001,9,8001
2001,12,6001
2001,6,4001
6001,108,10001
4001,104,6001
6001,48,8001
6001,14,10001
6001,14,8001
6001,19,10001
6001,33,8001
10001,59,15000
2001,3,4001
4001,8,6001
6001,26,6500
4001,9,6000
2001,29,3000
2001,96,3000
4001,35,8001
2001,18,4001
4001,11,6001
2001,12,4001
4001,14,6001
2001,11,4001
2001,30,4001
2001,6,4001
6001,13,10001
4001,55,6001
4001,3,6001
2001,6,4001
2001,12,4001
10001,13,15000
4001,15,8001
4001,36,6001
8001,29,15000
2001,2,10001
4001,130,6001
4001,4,10001
10001,90,15000
10001,57,15000
2001,1,4001
6001,99,8001
6001,65,8001
8001,129,15000
8001,82,10001
4001,71,6001
2001,7,6001
2001,2,4001
10001,79,15000
4001,103,6001
8001,30,10001
4001,42,6001
8001,45,15000
6001,87,8001
6001,50,8001
6001,58,10001
2001,24,4001
2001,68,4001
8001,52,10001
4001,10,6001
6001,77,8001
10001,91,15000
2001,24,4001
4001,12,8001
8001,78,15000
4001,55,6001
2001,53,6001
2001,4,4001
8001,48,15000
8001,84,10001
2001,28,4001
4001,16,4500
8001,40,10001
6001,63,8001
8001,66,10001
6001,148,8001
2001,50,4001
8001,55,15000
4001,45,6001
2001,74,4001
8001,55,10001
6001,44,8001
2001,23,4001
6001,64,8001
2001,12,4001
4001,17,6001
4001,36,6001
2001,9,4001
8001,18,10000
8001,18,10000
4001,3,4500
6001,6,7000
2001,11,6500
6001,13,8000
2001,0,4500
3500,128,8000
2001,5,4000
4001,16,6001
2001,18,6000
2001,8,4001
2001,34,6001
10001,42,15000
2001,13,6000
2001,50,6001
4001,67,6001
2001,9,6001
6001,47,8001
2001,8,6001
8001,10,10001
4001,96,8001
4001,22,6001
4001,16,8001
4001,13,6001
10001,23,15000
2001,3,4001
6001,35,8001
2001,184,6001
4001,16,10001
4001,66,6001
6001,38,8001
4001,67,6001
6001,18,8001
2001,66,4001
6001,29,8001
4001,7,6000
6001,4,8001
2001,6,3000
2001,19,4001
2001,30,4001
2001,12,6001
4001,43,6001
2001,27,4001
8001,55,10001
4001,17,6001
2001,31,4001
2001,99,4001
4001,19,6001
4001,35,6001
4001,14,8000
2001,9,8001
4001,16,6001
2001,12,6001
4001,11,6001
10001,58,15000
2001,2,4001
6001,22,8001
6001,10,10001
8001,17,10001
6001,34,8001
8001,22,10001
2001,26,6001
2001,29,4001
2001,5,6001
2001,7,6001
4001,12,6001
4001,11,6001
6001,11,10001
2001,3,4001
4001,19,8000
6001,14,8001
4001,13,6001
4001,14,10001
4001,42,8001
4001,41,6001
4001,52,6001
4001,54,5000
2001,17,4001
4001,93,6001
2001,55,4001
2001,6,4001
2001,12,4001
4001,89,6001
2001,8,4001
4001,31,6001
4001,9,6001
6001,33,8001
4001,32,6001
4001,11,8001
6001,60,8001
4001,40,6001
4001,31,6001
4001,39,6001
4001,9,8001
4001,44,6001
4001,14,6001
2001,47,4001
2001,51,4500
2001,12,6001
2001,44,4001
2001,16,10001
4001,2,4500
2001,2,4001
2001,12,4500
2001,6,4001
2001,21,4001
2001,15,4001
2001,5,4001
2001,101,6001
6001,65,8001
2001,60,4001
4001,30,6001
6001,12,8000
6001,12,8001
4001,144,6001
4001,14,6001
6001,58,8001
4001,28,5000
2001,17,4001
8001,53,10001
2001,41,4001
4001,27,6001
6001,23,8001
2001,37,4001
8001,135,10001
2001,8,4001
4001,42,8001
6001,74,8001
2001,14,4001
2001,10,4001
4001,24,6001
6001,82,8001
6001,55,8001
4001,33,4500
4001,19,4500
4001,24,6000
2001,75,4001
8001,103,10001
2001,12,4001
4001,15,6001
2001,3,3000
7000,69,10000
2001,13,6000
4001,14,6000
2001,23,4001
2001,3,4500
4001,39,6001
4001,15,6001
8001,23,10001
6001,86,8001
4001,29,6001
8001,121,10001
4001,21,6001
4001,91,6001
6001,136,8001
2001,35,8001
4001,18,6001
2001,27,4001
6001,437,10001
4001,12,6001
4001,25,8001
8001,62,10001
8001,16,10001
4001,45,6001
4001,16,11000
4001,18,4500
6001,39,10001
6001,27,8001
8001,37,10001
6001,74,15000
6001,24,8001
4001,15,8001
4001,13,6001
2001,3,4001
8001,43,10000
6001,18,8000
6001,24,10000
4001,11,6001
6001,20,8001
2001,10,6001
2001,6,4001
2001,11,4001
4001,19,6001
4001,27,6001
4001,16,10000
2001,12,6001
4001,82,4500
4001,24,8001
4001,11,4500
2001,44,4001
6001,34,10001
2001,2,4001
4001,12,6001
4001,15,8001
4001,161,6001
4001,65,6001
2001,22,4001
10001,87,15000
2001,3,4001
2001,41,6001
4001,12,6001
6001,15,8001
6001,20,8001
2001,22,4001
8001,131,10001
2001,5,4001
4001,13,6000
4001,28,6001
10001,33,15000
2001,33,4001
4001,56,6001
4001,48,4500
6001,214,8001
4001,2,8001
8001,91,10001
8001,52,15000
4001,31,6001
10001,74,15000
8001,26,10001
10001,35,15000
10001,56,15000
2001,47,4001
2001,3,4001
2001,29,4001
2001,2,10001
6001,73,8001
2001,5,4001
2001,8,4001
2001,8,4001
10001,74,15000
10001,50,15000
6001,153,8001
4001,24,6001
6001,72,8001
8001,61,10001
6001,12,10001
2001,7,4001
2001,22,4001
4001,5,6001
2001,58,4001
2001,100,4001
8001,59,10001
4001,150,6001
4001,117,6001
10001,49,15000
2001,0,8001
2001,18,4001
4001,73,6001
2001,63,4001
2001,35,3000
2001,27,4001
4001,24,6001
8001,38,10001
2001,16,6001
6001,19,10001
8001,32,10001
4001,12,6001
2001,19,4001
4001,14,6001
6001,49,8001
4001,27,8001
10001,72,15000
10001,44,15000
